I646B22FC,sa,Khaḍgaviṣāṇasūtra,https://github.com/OpenPecha/I646B22FC
IF9A410AC,sa,Laṅkāvatārasūtra,https://github.com/OpenPecha/IF9A410AC
I0E32E5E1,zh,Laṅkāvatārasūtra,https://github.com/OpenPecha/I0E32E5E1
I8CBBBB53,zh,Laṅkāvatārasūtra,https://github.com/OpenPecha/I8CBBBB53
ID1772421,zh,Laṅkāvatārasūtra,https://github.com/OpenPecha/ID1772421
I2EF3564C,en,Laṅkāvatārasūtra,https://github.com/OpenPecha/I2EF3564C
I4109DF71,sa,Maitreyavyākaraṇa,https://github.com/OpenPecha/I4109DF71
ID8C4B87F,sa,Maitreyavyākaraṇa,https://github.com/OpenPecha/ID8C4B87F
I42722B63,sa,Maitreyavyākaraṇa,https://github.com/OpenPecha/I42722B63
IA7F97C57,bo,Maitreyavyākaraṇa,https://github.com/OpenPecha/IA7F97C57
I32C11502,zh,Maitreyavyākaraṇa,https://github.com/OpenPecha/I32C11502
I76400EB3,bo,Mañjuśrīvikrīḍitasūtra,https://github.com/OpenPecha/I76400EB3
I83D5522E,zh,Mañjuśrīvikrīḍitasūtra,https://github.com/OpenPecha/I83D5522E
ID37D4738,zh,Mañjuśrīvikrīḍitasūtra,https://github.com/OpenPecha/ID37D4738
I898DEFF9,en,Mañjuśrīvikrīḍitasūtra,https://github.com/OpenPecha/I898DEFF9
IDC2CC3E2,sa,Nirvikalpapraveśadhāraṇī,https://github.com/OpenPecha/IDC2CC3E2
I5F85599F,bo,Nirvikalpapraveśadhāraṇī,https://github.com/OpenPecha/I5F85599F
I26A444AE,zh,Nirvikalpapraveśadhāraṇī,https://github.com/OpenPecha/I26A444AE
I3AB206DD,sa,PP: Prajñāpāramitāhṛdaya,https://github.com/OpenPecha/I3AB206DD
I6FD7BEEE,sa,PP: Prajñāpāramitāhṛdaya,https://github.com/OpenPecha/I6FD7BEEE
I44549B89,sa,PP: Prajñāpāramitāhṛdaya,https://github.com/OpenPecha/I44549B89
IE0948F6C,sa,PP: Prajñāpāramitāhṛdaya,https://github.com/OpenPecha/IE0948F6C
I34AFE22C,zh,PP: Prajñāpāramitāhṛdaya,https://github.com/OpenPecha/I34AFE22C
I4C316023,zh,PP: Prajñāpāramitāhṛdaya,https://github.com/OpenPecha/I4C316023
ICB0D26F7,zh,PP: Prajñāpāramitāhṛdaya,https://github.com/OpenPecha/ICB0D26F7
I98D6866F,zh,PP: Prajñāpāramitāhṛdaya,https://github.com/OpenPecha/I98D6866F
I3A42C21A,zh,PP: Prajñāpāramitāhṛdaya,https://github.com/OpenPecha/I3A42C21A
I449BE1FF,zh,PP: Prajñāpāramitāhṛdaya,https://github.com/OpenPecha/I449BE1FF
I7990E9E8,zh,PP: Prajñāpāramitāhṛdaya,https://github.com/OpenPecha/I7990E9E8
I56545BBD,bo,PP: Prajñāpāramitāhṛdaya,https://github.com/OpenPecha/I56545BBD
IF8F885F8,bo,PP: Prajñāpāramitāhṛdaya,https://github.com/OpenPecha/IF8F885F8
I4EC1373C,en,PP: Prajñāpāramitāhṛdaya,https://github.com/OpenPecha/I4EC1373C
I5D488D65,en,PP: Prajñāpāramitāhṛdaya,https://github.com/OpenPecha/I5D488D65
I40A5646B,en,PP: Prajñāpāramitāhṛdaya,https://github.com/OpenPecha/I40A5646B
I2BF4B9A6,bo,Pratyutpannabuddhasamādhisūtra,https://github.com/OpenPecha/I2BF4B9A6
I9E4F766F,en,Pratyutpannabuddhasamādhisūtra,https://github.com/OpenPecha/I9E4F766F
IE1BBB51B,sa,PP: Ratnaguṇasaṃcayagāthā,https://github.com/OpenPecha/IE1BBB51B
